"latitude","longitude","localidad"
10.851,-68.26,"Morrocoy"
10.839,-68.26,"Morrocoy"
10.826,-68.26,"Morrocoy"
10.813,-68.26,"Morrocoy"
10.801,-68.26,"Morrocoy"
10.788,-68.26,"Morrocoy"
10.775,-68.26,"Morrocoy"
10.762,-68.26,"Morrocoy"
11.004,-68.247,"Morrocoy"
10.992,-68.247,"Morrocoy"
10.979,-68.247,"Morrocoy"
10.966,-68.247,"Morrocoy"
10.953,-68.247,"Morrocoy"
10.941,-68.247,"Morrocoy"
10.928,-68.247,"Morrocoy"
10.915,-68.247,"Morrocoy"
10.902,-68.247,"Morrocoy"
10.89,-68.247,"Morrocoy"
10.877,-68.247,"Morrocoy"
10.864,-68.247,"Morrocoy"
10.851,-68.247,"Morrocoy"
10.839,-68.247,"Morrocoy"
10.826,-68.247,"Morrocoy"
10.813,-68.247,"Morrocoy"
10.801,-68.247,"Morrocoy"
10.788,-68.247,"Morrocoy"
10.775,-68.247,"Morrocoy"
10.762,-68.247,"Morrocoy"
11.004,-68.235,"Morrocoy"
10.992,-68.235,"Morrocoy"
10.979,-68.235,"Morrocoy"
10.966,-68.235,"Morrocoy"
10.953,-68.235,"Morrocoy"
10.941,-68.235,"Morrocoy"
10.928,-68.235,"Morrocoy"
10.915,-68.235,"Morrocoy"
10.902,-68.235,"Morrocoy"
10.89,-68.235,"Morrocoy"
10.877,-68.235,"Morrocoy"
10.864,-68.235,"Morrocoy"
10.851,-68.235,"Morrocoy"
10.839,-68.235,"Morrocoy"
10.826,-68.235,"Morrocoy"
10.813,-68.235,"Morrocoy"
10.801,-68.235,"Morrocoy"
10.788,-68.235,"Morrocoy"
10.775,-68.235,"Morrocoy"
10.762,-68.235,"Morrocoy"
11.004,-68.222,"Morrocoy"
10.992,-68.222,"Morrocoy"
10.979,-68.222,"Morrocoy"
10.966,-68.222,"Morrocoy"
10.953,-68.222,"Morrocoy"
10.941,-68.222,"Morrocoy"
10.928,-68.222,"Morrocoy"
10.915,-68.222,"Morrocoy"
10.902,-68.222,"Morrocoy"
10.89,-68.222,"Morrocoy"
10.877,-68.222,"Morrocoy"
10.864,-68.222,"Morrocoy"
10.851,-68.222,"Morrocoy"
10.839,-68.222,"Morrocoy"
10.826,-68.222,"Morrocoy"
10.813,-68.222,"Morrocoy"
10.801,-68.222,"Morrocoy"
10.788,-68.222,"Morrocoy"
10.775,-68.222,"Morrocoy"
10.762,-68.222,"Morrocoy"
10.979,-68.209,"Morrocoy"
10.966,-68.209,"Morrocoy"
10.953,-68.209,"Morrocoy"
10.941,-68.209,"Morrocoy"
10.928,-68.209,"Morrocoy"
10.915,-68.209,"Morrocoy"
10.902,-68.209,"Morrocoy"
10.89,-68.209,"Morrocoy"
10.877,-68.209,"Morrocoy"
10.864,-68.209,"Morrocoy"
10.851,-68.209,"Morrocoy"
10.839,-68.209,"Morrocoy"
10.826,-68.209,"Morrocoy"
10.813,-68.209,"Morrocoy"
10.801,-68.209,"Morrocoy"
10.788,-68.209,"Morrocoy"
10.775,-68.209,"Morrocoy"
10.762,-68.209,"Morrocoy"
10.953,-68.196,"Morrocoy"
10.941,-68.196,"Morrocoy"
10.928,-68.196,"Morrocoy"
10.915,-68.196,"Morrocoy"
10.902,-68.196,"Morrocoy"
10.89,-68.196,"Morrocoy"
10.877,-68.196,"Morrocoy"
10.864,-68.196,"Morrocoy"
10.851,-68.196,"Morrocoy"
10.839,-68.196,"Morrocoy"
10.826,-68.196,"Morrocoy"
10.813,-68.196,"Morrocoy"
10.801,-68.196,"Morrocoy"
10.788,-68.196,"Morrocoy"
10.775,-68.196,"Morrocoy"
10.762,-68.196,"Morrocoy"
10.89,-68.184,"Morrocoy"
10.877,-68.184,"Morrocoy"
10.864,-68.184,"Morrocoy"
10.851,-68.184,"Morrocoy"
10.839,-68.184,"Morrocoy"
10.826,-68.184,"Morrocoy"
10.813,-68.184,"Morrocoy"
10.801,-68.184,"Morrocoy"
10.788,-68.184,"Morrocoy"
10.775,-68.184,"Morrocoy"
10.762,-68.184,"Morrocoy"
10.851,-68.171,"Morrocoy"
10.839,-68.171,"Morrocoy"
10.826,-68.171,"Morrocoy"
10.813,-68.171,"Morrocoy"
10.801,-68.171,"Morrocoy"
10.788,-68.171,"Morrocoy"
10.775,-68.171,"Morrocoy"
10.762,-68.171,"Morrocoy"
10.444,-68.12,"San Esteban"
10.431,-68.12,"San Esteban"
10.419,-68.12,"San Esteban"
10.406,-68.12,"San Esteban"
10.393,-68.12,"San Esteban"
10.521,-68.108,"San Esteban"
10.508,-68.108,"San Esteban"
10.495,-68.108,"San Esteban"
10.444,-68.108,"San Esteban"
10.431,-68.108,"San Esteban"
10.419,-68.108,"San Esteban"
10.406,-68.108,"San Esteban"
10.393,-68.108,"San Esteban"
10.38,-68.108,"San Esteban"
10.368,-68.108,"San Esteban"
10.521,-68.095,"San Esteban"
10.508,-68.095,"San Esteban"
10.495,-68.095,"San Esteban"
10.444,-68.095,"San Esteban"
10.431,-68.095,"San Esteban"
10.419,-68.095,"San Esteban"
10.406,-68.095,"San Esteban"
10.393,-68.095,"San Esteban"
10.38,-68.095,"San Esteban"
10.368,-68.095,"San Esteban"
10.521,-68.082,"San Esteban"
10.508,-68.082,"San Esteban"
10.495,-68.082,"San Esteban"
10.444,-68.082,"San Esteban"
10.431,-68.082,"San Esteban"
10.419,-68.082,"San Esteban"
10.406,-68.082,"San Esteban"
10.393,-68.082,"San Esteban"
10.38,-68.082,"San Esteban"
10.368,-68.082,"San Esteban"
10.355,-68.082,"San Esteban"
10.521,-68.069,"San Esteban"
10.508,-68.069,"San Esteban"
10.495,-68.069,"San Esteban"
10.444,-68.069,"San Esteban"
10.431,-68.069,"San Esteban"
10.419,-68.069,"San Esteban"
10.406,-68.069,"San Esteban"
10.393,-68.069,"San Esteban"
10.38,-68.069,"San Esteban"
10.368,-68.069,"San Esteban"
10.355,-68.069,"San Esteban"
10.521,-68.057,"San Esteban"
10.508,-68.057,"San Esteban"
10.495,-68.057,"San Esteban"
10.444,-68.057,"San Esteban"
10.431,-68.057,"San Esteban"
10.419,-68.057,"San Esteban"
10.406,-68.057,"San Esteban"
10.393,-68.057,"San Esteban"
10.38,-68.057,"San Esteban"
10.368,-68.057,"San Esteban"
10.355,-68.057,"San Esteban"
10.521,-68.044,"San Esteban"
10.508,-68.044,"San Esteban"
10.495,-68.044,"San Esteban"
10.444,-68.044,"San Esteban"
10.431,-68.044,"San Esteban"
10.419,-68.044,"San Esteban"
10.406,-68.044,"San Esteban"
10.393,-68.044,"San Esteban"
10.38,-68.044,"San Esteban"
10.368,-68.044,"San Esteban"
10.355,-68.044,"San Esteban"
10.444,-68.031,"San Esteban"
10.431,-68.031,"San Esteban"
10.419,-68.031,"San Esteban"
10.406,-68.031,"San Esteban"
10.393,-68.031,"San Esteban"
10.38,-68.031,"San Esteban"
10.368,-68.031,"San Esteban"
10.355,-68.031,"San Esteban"
10.444,-68.019,"San Esteban"
10.431,-68.019,"San Esteban"
10.419,-68.019,"San Esteban"
10.406,-68.019,"San Esteban"
10.393,-68.019,"San Esteban"
10.38,-68.019,"San Esteban"
10.368,-68.019,"San Esteban"
10.355,-68.019,"San Esteban"
10.444,-68.006,"San Esteban"
10.431,-68.006,"San Esteban"
10.419,-68.006,"San Esteban"
10.406,-68.006,"San Esteban"
10.393,-68.006,"San Esteban"
10.38,-68.006,"San Esteban"
10.368,-68.006,"San Esteban"
10.355,-68.006,"San Esteban"
10.444,-67.993,"San Esteban"
10.431,-67.993,"San Esteban"
10.419,-67.993,"San Esteban"
10.406,-67.993,"San Esteban"
10.393,-67.993,"San Esteban"
10.38,-67.993,"San Esteban"
10.368,-67.993,"San Esteban"
10.355,-67.993,"San Esteban"
10.444,-67.98,"San Esteban"
10.431,-67.98,"San Esteban"
10.419,-67.98,"San Esteban"
10.406,-67.98,"San Esteban"
10.393,-67.98,"San Esteban"
10.38,-67.98,"San Esteban"
10.368,-67.98,"San Esteban"
10.355,-67.98,"San Esteban"
10.444,-67.968,"San Esteban"
10.431,-67.968,"San Esteban"
10.419,-67.968,"San Esteban"
10.406,-67.968,"San Esteban"
10.393,-67.968,"San Esteban"
10.38,-67.968,"San Esteban"
10.368,-67.968,"San Esteban"
10.355,-67.968,"San Esteban"
10.533,-67.955,"San Esteban"
10.521,-67.955,"San Esteban"
10.508,-67.955,"San Esteban"
10.495,-67.955,"San Esteban"
10.482,-67.955,"San Esteban"
10.47,-67.955,"San Esteban"
10.457,-67.955,"San Esteban"
10.444,-67.955,"San Esteban"
10.431,-67.955,"San Esteban"
10.419,-67.955,"San Esteban"
10.406,-67.955,"San Esteban"
10.393,-67.955,"San Esteban"
10.38,-67.955,"San Esteban"
10.368,-67.955,"San Esteban"
10.355,-67.955,"San Esteban"
10.533,-67.942,"San Esteban"
10.521,-67.942,"San Esteban"
10.508,-67.942,"San Esteban"
10.495,-67.942,"San Esteban"
10.482,-67.942,"San Esteban"
10.47,-67.942,"San Esteban"
10.457,-67.942,"San Esteban"
10.444,-67.942,"San Esteban"
10.431,-67.942,"San Esteban"
10.419,-67.942,"San Esteban"
10.406,-67.942,"San Esteban"
10.393,-67.942,"San Esteban"
10.38,-67.942,"San Esteban"
10.368,-67.942,"San Esteban"
10.355,-67.942,"San Esteban"
10.533,-67.93,"San Esteban"
10.521,-67.93,"San Esteban"
10.508,-67.93,"San Esteban"
10.495,-67.93,"San Esteban"
10.482,-67.93,"San Esteban"
10.47,-67.93,"San Esteban"
10.457,-67.93,"San Esteban"
10.444,-67.93,"San Esteban"
10.431,-67.93,"San Esteban"
10.419,-67.93,"San Esteban"
10.406,-67.93,"San Esteban"
10.393,-67.93,"San Esteban"
10.38,-67.93,"San Esteban"
10.368,-67.93,"San Esteban"
10.355,-67.93,"San Esteban"
10.533,-67.917,"San Esteban"
10.521,-67.917,"San Esteban"
10.508,-67.917,"San Esteban"
10.495,-67.917,"San Esteban"
10.482,-67.917,"San Esteban"
10.47,-67.917,"San Esteban"
10.457,-67.917,"San Esteban"
10.444,-67.917,"San Esteban"
10.431,-67.917,"San Esteban"
10.419,-67.917,"San Esteban"
10.406,-67.917,"San Esteban"
10.393,-67.917,"San Esteban"
10.38,-67.917,"San Esteban"
10.368,-67.917,"San Esteban"
10.355,-67.917,"San Esteban"
10.533,-67.904,"San Esteban"
10.521,-67.904,"San Esteban"
10.508,-67.904,"San Esteban"
10.495,-67.904,"San Esteban"
10.482,-67.904,"San Esteban"
10.47,-67.904,"San Esteban"
10.457,-67.904,"San Esteban"
10.444,-67.904,"San Esteban"
10.431,-67.904,"San Esteban"
10.419,-67.904,"San Esteban"
10.406,-67.904,"San Esteban"
10.393,-67.904,"San Esteban"
10.38,-67.904,"San Esteban"
10.368,-67.904,"San Esteban"
10.533,-67.891,"San Esteban"
10.521,-67.891,"San Esteban"
10.508,-67.891,"San Esteban"
10.495,-67.891,"San Esteban"
10.482,-67.891,"San Esteban"
10.47,-67.891,"San Esteban"
10.457,-67.891,"San Esteban"
10.444,-67.891,"San Esteban"
10.431,-67.891,"San Esteban"
10.419,-67.891,"San Esteban"
10.406,-67.891,"San Esteban"
10.393,-67.891,"San Esteban"
10.38,-67.891,"San Esteban"
10.368,-67.891,"San Esteban"
10.533,-67.879,"San Esteban"
10.521,-67.879,"San Esteban"
10.508,-67.879,"San Esteban"
10.495,-67.879,"San Esteban"
10.482,-67.879,"San Esteban"
10.47,-67.879,"San Esteban"
10.457,-67.879,"San Esteban"
10.444,-67.879,"San Esteban"
10.431,-67.879,"San Esteban"
10.419,-67.879,"San Esteban"
10.406,-67.879,"San Esteban"
10.393,-67.879,"San Esteban"
10.38,-67.879,"San Esteban"
10.368,-67.879,"San Esteban"
10.533,-67.866,"San Esteban"
10.521,-67.866,"San Esteban"
10.508,-67.866,"San Esteban"
10.495,-67.866,"San Esteban"
10.482,-67.866,"San Esteban"
10.47,-67.866,"San Esteban"
10.457,-67.866,"San Esteban"
10.444,-67.866,"San Esteban"
10.431,-67.866,"San Esteban"
10.419,-67.866,"San Esteban"
10.406,-67.866,"San Esteban"
10.393,-67.866,"San Esteban"
10.38,-67.866,"San Esteban"
10.368,-67.866,"San Esteban"
10.533,-67.853,"San Esteban"
10.521,-67.853,"San Esteban"
10.508,-67.853,"San Esteban"
10.495,-67.853,"San Esteban"
10.482,-67.853,"San Esteban"
10.47,-67.853,"San Esteban"
10.457,-67.853,"San Esteban"
10.444,-67.853,"San Esteban"
10.431,-67.853,"San Esteban"
10.419,-67.853,"San Esteban"
10.406,-67.853,"San Esteban"
10.393,-67.853,"San Esteban"
10.38,-67.853,"San Esteban"
10.533,-67.841,"San Esteban"
10.521,-67.841,"San Esteban"
10.508,-67.841,"San Esteban"
10.495,-67.841,"San Esteban"
10.482,-67.841,"San Esteban"
10.47,-67.841,"San Esteban"
10.457,-67.841,"San Esteban"
10.444,-67.841,"San Esteban"
10.431,-67.841,"San Esteban"
10.419,-67.841,"San Esteban"
10.406,-67.841,"San Esteban"
10.393,-67.841,"San Esteban"
11.832,-66.9,"Los Roques"
11.819,-66.9,"Los Roques"
11.806,-66.9,"Los Roques"
11.793,-66.9,"Los Roques"
11.857,-66.888,"Los Roques"
11.844,-66.888,"Los Roques"
11.832,-66.888,"Los Roques"
11.819,-66.888,"Los Roques"
11.806,-66.888,"Los Roques"
11.793,-66.888,"Los Roques"
11.781,-66.888,"Los Roques"
11.87,-66.875,"Los Roques"
11.857,-66.875,"Los Roques"
11.844,-66.875,"Los Roques"
11.832,-66.875,"Los Roques"
11.819,-66.875,"Los Roques"
11.806,-66.875,"Los Roques"
11.793,-66.875,"Los Roques"
11.781,-66.875,"Los Roques"
11.768,-66.875,"Los Roques"
11.87,-66.862,"Los Roques"
11.857,-66.862,"Los Roques"
11.844,-66.862,"Los Roques"
11.832,-66.862,"Los Roques"
11.819,-66.862,"Los Roques"
11.806,-66.862,"Los Roques"
11.793,-66.862,"Los Roques"
11.781,-66.862,"Los Roques"
11.768,-66.862,"Los Roques"
11.755,-66.862,"Los Roques"
11.883,-66.849,"Los Roques"
11.87,-66.849,"Los Roques"
11.857,-66.849,"Los Roques"
11.844,-66.849,"Los Roques"
11.832,-66.849,"Los Roques"
11.819,-66.849,"Los Roques"
11.806,-66.849,"Los Roques"
11.793,-66.849,"Los Roques"
11.781,-66.849,"Los Roques"
11.768,-66.849,"Los Roques"
11.755,-66.849,"Los Roques"
11.743,-66.849,"Los Roques"
11.895,-66.837,"Los Roques"
11.883,-66.837,"Los Roques"
11.87,-66.837,"Los Roques"
11.857,-66.837,"Los Roques"
11.844,-66.837,"Los Roques"
11.832,-66.837,"Los Roques"
11.819,-66.837,"Los Roques"
11.806,-66.837,"Los Roques"
11.793,-66.837,"Los Roques"
11.781,-66.837,"Los Roques"
11.768,-66.837,"Los Roques"
11.755,-66.837,"Los Roques"
11.743,-66.837,"Los Roques"
11.73,-66.837,"Los Roques"
11.895,-66.824,"Los Roques"
11.883,-66.824,"Los Roques"
11.87,-66.824,"Los Roques"
11.857,-66.824,"Los Roques"
11.844,-66.824,"Los Roques"
11.832,-66.824,"Los Roques"
11.819,-66.824,"Los Roques"
11.806,-66.824,"Los Roques"
11.793,-66.824,"Los Roques"
11.781,-66.824,"Los Roques"
11.768,-66.824,"Los Roques"
11.755,-66.824,"Los Roques"
11.743,-66.824,"Los Roques"
11.73,-66.824,"Los Roques"
11.908,-66.811,"Los Roques"
11.895,-66.811,"Los Roques"
11.883,-66.811,"Los Roques"
11.87,-66.811,"Los Roques"
11.857,-66.811,"Los Roques"
11.844,-66.811,"Los Roques"
11.832,-66.811,"Los Roques"
11.819,-66.811,"Los Roques"
11.806,-66.811,"Los Roques"
11.793,-66.811,"Los Roques"
11.781,-66.811,"Los Roques"
11.768,-66.811,"Los Roques"
11.755,-66.811,"Los Roques"
11.743,-66.811,"Los Roques"
11.73,-66.811,"Los Roques"
11.921,-66.799,"Los Roques"
11.908,-66.799,"Los Roques"
11.895,-66.799,"Los Roques"
11.883,-66.799,"Los Roques"
11.87,-66.799,"Los Roques"
11.857,-66.799,"Los Roques"
11.844,-66.799,"Los Roques"
11.832,-66.799,"Los Roques"
11.819,-66.799,"Los Roques"
11.806,-66.799,"Los Roques"
11.793,-66.799,"Los Roques"
11.781,-66.799,"Los Roques"
11.768,-66.799,"Los Roques"
11.755,-66.799,"Los Roques"
11.743,-66.799,"Los Roques"
11.73,-66.799,"Los Roques"
11.921,-66.786,"Los Roques"
11.908,-66.786,"Los Roques"
11.895,-66.786,"Los Roques"
11.883,-66.786,"Los Roques"
11.87,-66.786,"Los Roques"
11.857,-66.786,"Los Roques"
11.844,-66.786,"Los Roques"
11.832,-66.786,"Los Roques"
11.819,-66.786,"Los Roques"
11.806,-66.786,"Los Roques"
11.793,-66.786,"Los Roques"
11.781,-66.786,"Los Roques"
11.768,-66.786,"Los Roques"
11.755,-66.786,"Los Roques"
11.743,-66.786,"Los Roques"
11.73,-66.786,"Los Roques"
11.934,-66.773,"Los Roques"
11.921,-66.773,"Los Roques"
11.908,-66.773,"Los Roques"
11.895,-66.773,"Los Roques"
11.883,-66.773,"Los Roques"
11.87,-66.773,"Los Roques"
11.857,-66.773,"Los Roques"
11.844,-66.773,"Los Roques"
11.832,-66.773,"Los Roques"
11.819,-66.773,"Los Roques"
11.806,-66.773,"Los Roques"
11.793,-66.773,"Los Roques"
11.781,-66.773,"Los Roques"
11.768,-66.773,"Los Roques"
11.755,-66.773,"Los Roques"
11.743,-66.773,"Los Roques"
11.934,-66.761,"Los Roques"
11.921,-66.761,"Los Roques"
11.908,-66.761,"Los Roques"
11.895,-66.761,"Los Roques"
11.883,-66.761,"Los Roques"
11.87,-66.761,"Los Roques"
11.857,-66.761,"Los Roques"
11.844,-66.761,"Los Roques"
11.832,-66.761,"Los Roques"
11.819,-66.761,"Los Roques"
11.806,-66.761,"Los Roques"
11.793,-66.761,"Los Roques"
11.781,-66.761,"Los Roques"
11.768,-66.761,"Los Roques"
11.755,-66.761,"Los Roques"
11.946,-66.748,"Los Roques"
11.934,-66.748,"Los Roques"
11.921,-66.748,"Los Roques"
11.908,-66.748,"Los Roques"
11.895,-66.748,"Los Roques"
11.883,-66.748,"Los Roques"
11.87,-66.748,"Los Roques"
11.857,-66.748,"Los Roques"
11.844,-66.748,"Los Roques"
11.832,-66.748,"Los Roques"
11.819,-66.748,"Los Roques"
11.806,-66.748,"Los Roques"
11.793,-66.748,"Los Roques"
11.781,-66.748,"Los Roques"
11.768,-66.748,"Los Roques"
11.755,-66.748,"Los Roques"
11.959,-66.735,"Los Roques"
11.946,-66.735,"Los Roques"
11.934,-66.735,"Los Roques"
11.921,-66.735,"Los Roques"
11.908,-66.735,"Los Roques"
11.895,-66.735,"Los Roques"
11.883,-66.735,"Los Roques"
11.87,-66.735,"Los Roques"
11.857,-66.735,"Los Roques"
11.844,-66.735,"Los Roques"
11.832,-66.735,"Los Roques"
11.819,-66.735,"Los Roques"
11.806,-66.735,"Los Roques"
11.793,-66.735,"Los Roques"
11.781,-66.735,"Los Roques"
11.768,-66.735,"Los Roques"
11.755,-66.735,"Los Roques"
11.959,-66.722,"Los Roques"
11.946,-66.722,"Los Roques"
11.934,-66.722,"Los Roques"
11.921,-66.722,"Los Roques"
11.908,-66.722,"Los Roques"
11.895,-66.722,"Los Roques"
11.883,-66.722,"Los Roques"
11.87,-66.722,"Los Roques"
11.857,-66.722,"Los Roques"
11.844,-66.722,"Los Roques"
11.832,-66.722,"Los Roques"
11.819,-66.722,"Los Roques"
11.806,-66.722,"Los Roques"
11.793,-66.722,"Los Roques"
11.781,-66.722,"Los Roques"
11.768,-66.722,"Los Roques"
11.755,-66.722,"Los Roques"
11.959,-66.71,"Los Roques"
11.946,-66.71,"Los Roques"
11.934,-66.71,"Los Roques"
11.921,-66.71,"Los Roques"
11.908,-66.71,"Los Roques"
11.895,-66.71,"Los Roques"
11.883,-66.71,"Los Roques"
11.87,-66.71,"Los Roques"
11.857,-66.71,"Los Roques"
11.844,-66.71,"Los Roques"
11.832,-66.71,"Los Roques"
11.819,-66.71,"Los Roques"
11.806,-66.71,"Los Roques"
11.793,-66.71,"Los Roques"
11.781,-66.71,"Los Roques"
11.768,-66.71,"Los Roques"
11.755,-66.71,"Los Roques"
11.743,-66.71,"Los Roques"
11.972,-66.697,"Los Roques"
11.959,-66.697,"Los Roques"
11.946,-66.697,"Los Roques"
11.934,-66.697,"Los Roques"
11.921,-66.697,"Los Roques"
11.908,-66.697,"Los Roques"
11.895,-66.697,"Los Roques"
11.883,-66.697,"Los Roques"
11.87,-66.697,"Los Roques"
11.857,-66.697,"Los Roques"
11.844,-66.697,"Los Roques"
11.832,-66.697,"Los Roques"
11.819,-66.697,"Los Roques"
11.806,-66.697,"Los Roques"
11.793,-66.697,"Los Roques"
11.781,-66.697,"Los Roques"
11.768,-66.697,"Los Roques"
11.755,-66.697,"Los Roques"
11.743,-66.697,"Los Roques"
11.972,-66.684,"Los Roques"
11.959,-66.684,"Los Roques"
11.946,-66.684,"Los Roques"
11.934,-66.684,"Los Roques"
11.921,-66.684,"Los Roques"
11.908,-66.684,"Los Roques"
11.895,-66.684,"Los Roques"
11.883,-66.684,"Los Roques"
11.87,-66.684,"Los Roques"
11.857,-66.684,"Los Roques"
11.844,-66.684,"Los Roques"
11.832,-66.684,"Los Roques"
11.819,-66.684,"Los Roques"
11.806,-66.684,"Los Roques"
11.793,-66.684,"Los Roques"
11.781,-66.684,"Los Roques"
11.768,-66.684,"Los Roques"
11.755,-66.684,"Los Roques"
11.743,-66.684,"Los Roques"
11.972,-66.672,"Los Roques"
11.959,-66.672,"Los Roques"
11.946,-66.672,"Los Roques"
11.934,-66.672,"Los Roques"
11.921,-66.672,"Los Roques"
11.908,-66.672,"Los Roques"
11.895,-66.672,"Los Roques"
11.883,-66.672,"Los Roques"
11.87,-66.672,"Los Roques"
11.857,-66.672,"Los Roques"
11.844,-66.672,"Los Roques"
11.832,-66.672,"Los Roques"
11.819,-66.672,"Los Roques"
11.806,-66.672,"Los Roques"
11.793,-66.672,"Los Roques"
11.781,-66.672,"Los Roques"
11.768,-66.672,"Los Roques"
11.755,-66.672,"Los Roques"
11.743,-66.672,"Los Roques"
11.959,-66.659,"Los Roques"
11.946,-66.659,"Los Roques"
11.934,-66.659,"Los Roques"
11.921,-66.659,"Los Roques"
11.908,-66.659,"Los Roques"
11.895,-66.659,"Los Roques"
11.883,-66.659,"Los Roques"
11.87,-66.659,"Los Roques"
11.857,-66.659,"Los Roques"
11.844,-66.659,"Los Roques"
11.832,-66.659,"Los Roques"
11.819,-66.659,"Los Roques"
11.806,-66.659,"Los Roques"
11.793,-66.659,"Los Roques"
11.781,-66.659,"Los Roques"
11.768,-66.659,"Los Roques"
11.755,-66.659,"Los Roques"
11.743,-66.659,"Los Roques"
11.959,-66.646,"Los Roques"
11.946,-66.646,"Los Roques"
11.934,-66.646,"Los Roques"
11.921,-66.646,"Los Roques"
11.908,-66.646,"Los Roques"
