"Locality","Site","InsularCoast","Position","Scleractinian","Octocorals","Antipatharia","Hidrocorals","Zoanthids","Sponge","Algae","Fleshy.algae","Calcareous.algae","Seagrass","Other.invertebrates","Unknown","Abiotic","latitude","longitude"
"Morrocoy","Boca Seca","Continental","West",2.26666666666667,4.66666666666666,0,1,5.53333333333334,0.133333333333333,65.5333333333333,10.2,6.13333333333333,0,0,0.133333333333333,4.4,10.834,-68.237
"Morrocoy","Medio","Continental","West",33.4666666666667,0.0666666666666667,0,1.53333333333333,0.2,0.466666666666667,52.0666666666666,3.06666666666666,4.66666666666667,0,0,0.0666666666666667,4.40000000000001,10.742,-68.236
"Morrocoy","Mero","Continental","West",3.6,1.66666666666667,0,0.0666666666666667,0.0666666666666667,1.73333333333333,33.6666666666667,9.73333333333333,0.466666666666668,0,0.133333333333333,0.533333333333334,48.3333333333333,10.82,-68.248
"Morrocoy","Norte","Continental","West",51.6666666666667,0.666666666666667,0,4,0.266666666666667,0.333333333333333,30.2,0.8,8.2,0,0,0.333333333333333,3.53333333333333,10.78,-68.201
"Morrocoy","Sombrero","Continental","West",27.1333333333334,11.4,0,0.266666666666667,0,4,34.6666666666667,1.33333333333333,0.333333333333333,0,0,0.133333333333333,20.7333333333333,10.889,-68.215
"Morrocoy","Sur","Continental","West",34.1333333333333,0.0666666666666667,0,0.733333333333333,0,0.466666666666667,28.4666666666667,26.5333333333333,0.2,0,0,0.2,9.20000000000001,10.729,-68.244
"Ocumare","Cienaga este","Continental","Center",14.4,0.133333333333333,0,0.133333333333333,0,0.2,71.4666666666667,7.33333333333334,0,0,0,0,6.33333333333333,10.487,-67.804
"Ocumare","Cienaga interno","Continental","Center",18.0666666666666,7.59999999999999,0,5.33333333333334,0.2,0.4,35.3333333333333,2.8,0,0,0.0666666666666667,1,29.2,10.475,-67.809
"Ocumare","Cienaga oeste","Continental","Center",14.1333333333333,9.53333333333334,0,1.66666666666667,2.53333333333333,0.599999999999999,50.4,0.0666666666666667,0,0,0,0.0666666666666667,21,10.478,-67.809
"Ocumare","Guabinitas","Continental","Center",4.46666666666667,16.2,0,1.46666666666667,5.06666666666667,0.266666666666667,44.6666666666667,0.733333333333333,0.133333333333333,0,0,0.133333333333333,26.8666666666667,10.484,-67.825
